"행정구역(시군구)별",2022.07,2022.07,2022.07,2022.08,2022.08,2022.08,2022.09,2022.09,2022.09
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"광주시",390246,199090,191156,391131,199571,191560,391460,199709,191751
"양주시",237889,120561,117328,238734,120947,117787,239287,121215,118072
"포천시",147902,78374,69528,147735,78294,69441,147340,78049,69291
"여주시",112731,57340,55391,112800,57360,55440,112850,57385,55465
"연천군",42584,22365,20219,42542,22343,20199,42364,22245,20119
"가평군",62297,32127,30170,62382,32191,30191,62249,32123,30126
"양평군",122671,61743,60928,122914,61890,61024,122630,61730,60900
"강원도",1539178,774387,764791,1538801,774193,764608,1537396,773576,763820
"춘천시",286050,141161,144889,286352,141349,145003,286371,141360,145011
"원주시",359888,178436,181452,360051,178471,181580,360204,178585,181619
"강릉시",212260,105312,106948,212099,105222,106877,211867,105102,106765
"동해시",89683,45584,44099,89699,45612,44087,89465,45494,43971
"태백시",40029,20232,19797,39940,20184,19756,39637,19992,19645
"속초시",83035,41174,41861,82974,41131,41843,82824,41069,41755
"삼척시",64046,32390,31656,63760,32285,31475,63753,32318,31435
"홍천군",67784,34840,32944,67789,34835,32954,67738,34824,32914
"횡성군",46555,23891,22664,46543,23894,22649,46504,23852,22652
"영월군",37909,19633,18276,37904,19634,18270,37860,19617,18243
"평창군",41153,21219,19934,41112,21206,19906,41033,21176,19857
"정선군",35282,18423,16859,35210,18372,16838,35072,18324,16748
"철원군",42715,22119,20596,42655,22082,20573,42520,22016,20504
"화천군",23864,12874,10990,23806,12826,10980,23731,12786,10945
"양구군",21555,11303,10252,21522,11291,10231,21438,11253,10185
"인제군",32198,17499,14699,32213,17518,14695,32183,17501,14682
"고성군",27316,14084,13232,27264,14036,13228,27311,14071,13240
"양양군",27856,14213,13643,27908,14245,13663,27885,14236,13649
"충청북도",1597163,811286,785877,1596886,811289,785597,1595624,810741,784883
"청주시",849083,428527,420556,849290,428770,420520,849100,428755,420345
"서원구",192235,95655,96580,192171,95657,96514,191803,95548,96255
"청원구",194249,100014,94235,194238,100041,94197,193996,99896,94100
"상당구",194168,96480,97688,194267,96570,97697,195041,96970,98071
"흥덕구",268431,136378,132053,268614,136502,132112,268260,136341,131919
"충주시",208725,105692,103033,208604,105644,102960,208487,105588,102899
"제천시",131816,66247,65569,131693,66190,65503,131356,66020,65336
"보은군",31770,16025,15745,31714,15987,15727,31587,15934,15653
"옥천군",49934,25213,24721,49853,25154,24699,49650,25046,24604
"영동군",45321,22618,22703,45281,22603,22678,45217,22573,22644
"증평군",37112,19292,17820,37184,19338,17846,37213,19333,17880
"진천군",85914,45290,40624,85921,45309,40612,85947,45341,40606
"괴산군",37163,19148,18015,37110,19119,17991,37005,19073,17932
"음성군",92311,49014,43297,92277,48986,43291,92199,48932,43267
"단양군",28014,14220,13794,27959,14189,13770,27863,14146,13717
"충청남도",2121011,1085037,1035974,2121082,1085209,1035873,2120269,1084756,1035513
"당진시",167397,89056,78341,167479,89117,78362,167553,89183,78370
"천안시",657418,336389,321029,657612,336524,321088,657210,336312,320898
"동남구",255838,129785,126053,255997,129883,126114,255655,129659,125996
"서북구",401580,206604,194976,401615,206641,194974,401555,206653,194902
"공주시",102922,51398,51524,102917,51379,51538,102848,51342,51506
"보령시",97704,49512,48192,97532,49454,48078,97402,49378,48024
"아산시",331190,172507,158683,331806,172844,158962,332361,173123,159238
"서산시",176477,92012,84465,176512,92059,84453,176291,91955,84336
"논산시",113473,56637,56836,113323,56572,56751,113018,56397,56621
"계룡시",43499,21678,21821,43397,21650,21747,43843,21861,21982
"금산군",50224,25364,24860,50176,25339,24837,50111,25320,24791
"부여군",63047,31312,31735,62894,31222,31672,62642,31105,31537
"서천군",50373,24892,25481,50296,24857,25439,50139,24771,25368
"청양군",30392,15458,14934,30335,15429,14906,30245,15382,14863
"홍성군",98705,49214,49491,98597,49149,49448,98337,49013,49324
"예산군",76643,38507,38136,76651,38517,38134,76808,38561,38247
"태안군",61547,31101,30446,61555,31097,30458,61461,31053,30408
"전라북도",1776949,884164,892785,1775664,883436,892228,1772596,882044,890552
"전주시",653964,321557,332407,653581,321370,332211,652876,320985,331891
"완산구",334468,162761,171707,334515,162832,171683,334252,162693,171559
"덕진구",319496,158796,160700,319066,158538,160528,318624,158292,160332
"전주시효자출장소",0,0,0,0,0,0,0,0,0
"군산시",263709,133455,130254,263500,133330,130170,262937,133117,129820
"익산시",275719,137312,138407,275254,137085,138169,274525,136750,137775
"익산시함열출장소",0,0,0,0,0,0,0,0,0
"정읍시",105702,52584,53118,105590,52532,53058,105356,52428,52928
"남원시",78626,38580,40046,78474,38482,39992,78272,38389,39883
"김제시",80882,40204,40678,81162,40312,40850,81158,40338,40820
"완주군",91545,47062,44483,91719,47164,44555,91663,47142,44521
"진안군",24823,12626,12197,24771,12599,12172,24701,12558,12143
"무주군",23693,11840,11853,23645,11803,11842,23577,11770,11807
"장수군",21536,10760,10776,21497,10741,10756,21464,10732,10732
"임실군",26580,13604,12976,26534,13595,12939,26490,13583,12907
"순창군",26791,13164,13627,26743,13132,13611,26690,13125,13565
"고창군",52928,26300,26628,52836,26242,26594,52630,26144,26486
"부안군",50451,25116,25335,50358,25049,25309,50257,24983,25274
"전라남도",1825534,918956,906578,1824104,918260,905844,1820458,916611,903847
"목포시",217470,108158,109312,217257,108029,109228,216909,107802,109107
"여수시",275489,140274,135215,275642,140351,135291,275197,140132,135065
"순천시",279980,139700,140280,279593,139482,140111,279222,139240,139982
"나주시",116143,58625,57518,116049,58541,57508,115818,58464,57354
"광양시",151825,79302,72523,152102,79450,72652,152082,79462,72620
"담양군",46114,23319,22795,46018,23276,22742,45843,23228,22615
"곡성군",27348,13487,13861,27283,13458,13825,27158,13421,13737
"구례군",24953,12177,12776,24884,12148,12736,24798,12116,12682
"고흥군",62387,30405,31982,62293,30357,31936,62177,30312,31865
